# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#  casrn  - CASRN
#  srsname  - SRSName
#  parameter_units  - Parameter Unit
#
#
# Date Retrieved: 2017-06-14 13:33:26 EDT
#
parameter_cd	parameter_group_nm	parameter_nm	casrn	srsname	parameter_units
69269	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.012 millimeters		Suspended sediment concentration (SSC)	%
69270	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.006 millimeters		Suspended sediment concentration (SSC)	%
69271	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.003 millimeters		Suspended sediment concentration (SSC)	%
69272	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.0015 millimeters		Suspended sediment concentration (SSC)	%
69273	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.001 millimeters		Suspended sediment concentration (SSC)	%
69274	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.00075 millimeters		Suspended sediment concentration (SSC)	%
69275	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.0005 millimeters		Suspended sediment concentration (SSC)	%
69276	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.00038 millimeters		Suspended sediment concentration (SSC)	%
69277	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.00025 millimeters		Suspended sediment concentration (SSC)	%
69278	Sediment	Suspended sediment, sieve diameter, percent smaller than 2048 millimeters		Suspended sediment concentration (SSC)	%
69279	Sediment	Suspended sediment, sieve diameter, percent smaller than 1536 millimeters		Suspended sediment concentration (SSC)	%
69280	Sediment	Suspended sediment, sieve diameter, percent smaller than 1024 millimeters		Suspended sediment concentration (SSC)	%
69281	Sediment	Suspended sediment, sieve diameter, percent smaller than 768 millimeters		Suspended sediment concentration (SSC)	%
69282	Sediment	Suspended sediment, sieve diameter, percent smaller than 512 millimeters		Suspended sediment concentration (SSC)	%
69283	Sediment	Suspended sediment, sieve diameter, percent smaller than 384 millimeters		Suspended sediment concentration (SSC)	%
69284	Sediment	Suspended sediment, sieve diameter, percent smaller than 256 millimeters		Suspended sediment concentration (SSC)	%
69285	Sediment	Suspended sediment, sieve diameter, percent smaller than 192 millimeters		Suspended sediment concentration (SSC)	%
69286	Sediment	Suspended sediment, sieve diameter, percent smaller than 128 millimeters		Suspended sediment concentration (SSC)	%
69287	Sediment	Suspended sediment, sieve diameter, percent smaller than 125 millimeters		Suspended sediment concentration (SSC)	%
69288	Sediment	Suspended sediment, sieve diameter, percent smaller than 106 millimeters		Suspended sediment concentration (SSC)	%
69289	Sediment	Suspended sediment, sieve diameter, percent smaller than 100 millimeters		Suspended sediment concentration (SSC)	%
69290	Sediment	Suspended sediment, sieve diameter, percent smaller than 96 millimeters		Suspended sediment concentration (SSC)	%
69291	Sediment	Suspended sediment, sieve diameter, percent smaller than 90 millimeters		Suspended sediment concentration (SSC)	%
69292	Sediment	Suspended sediment, sieve diameter, percent smaller than 75 millimeters		Suspended sediment concentration (SSC)	%
69293	Sediment	Suspended sediment, sieve diameter, percent smaller than 64 millimeters		Suspended sediment concentration (SSC)	%
69294	Sediment	Suspended sediment, sieve diameter, percent smaller than 63 millimeters		Suspended sediment concentration (SSC)	%
69295	Sediment	Suspended sediment, sieve diameter, percent smaller than 53 millimeters		Suspended sediment concentration (SSC)	%
69296	Sediment	Suspended sediment, sieve diameter, percent smaller than 50 millimeters		Suspended sediment concentration (SSC)	%
69297	Sediment	Suspended sediment, sieve diameter, percent smaller than 45 millimeters		Suspended sediment concentration (SSC)	%
69298	Sediment	Suspended sediment, sieve diameter, percent smaller than 37.5 millimeters		Suspended sediment concentration (SSC)	%
69299	Sediment	Suspended sediment, sieve diameter, percent smaller than 31.5 millimeters		Suspended sediment concentration (SSC)	%
69300	Sediment	Suspended sediment, sieve diameter, percent smaller than 26.5 millimeters		Suspended sediment concentration (SSC)	%
69301	Sediment	Suspended sediment, sieve diameter, percent smaller than 25 millimeters		Suspended sediment concentration (SSC)	%
69302	Sediment	Suspended sediment, sieve diameter, percent smaller than 22.4 millimeters		Suspended sediment concentration (SSC)	%
69303	Sediment	Suspended sediment, sieve diameter, percent smaller than 19 millimeters		Suspended sediment concentration (SSC)	%
69304	Sediment	Suspended sediment, sieve diameter, percent smaller than 16 millimeters		Suspended sediment concentration (SSC)	%
69305	Sediment	Suspended sediment, sieve diameter, percent smaller than 13.2 millimeters		Suspended sediment concentration (SSC)	%
69306	Sediment	Suspended sediment, sieve diameter, percent smaller than 12.5 millimeters		Suspended sediment concentration (SSC)	%
69307	Sediment	Suspended sediment, sieve diameter, percent smaller than 11.2 millimeters		Suspended sediment concentration (SSC)	%
69308	Sediment	Suspended sediment, sieve diameter, percent smaller than 9.5 millimeters		Suspended sediment concentration (SSC)	%
69309	Sediment	Suspended sediment, sieve diameter, percent smaller than 8 millimeters		Suspended sediment concentration (SSC)	%
69310	Sediment	Suspended sediment, sieve diameter, percent smaller than 7.5 millimeters		Suspended sediment concentration (SSC)	%
69311	Sediment	Suspended sediment, sieve diameter, percent smaller than 6.3 millimeters		Suspended sediment concentration (SSC)	%
69312	Sediment	Suspended sediment, sieve diameter, percent smaller than 5.6 millimeters		Suspended sediment concentration (SSC)	%
69313	Sediment	Suspended sediment, sieve diameter, percent smaller than 4.75 millimeters		Suspended sediment concentration (SSC)	%
69314	Sediment	Suspended sediment, sieve diameter, percent smaller than 4 millimeters		Suspended sediment concentration (SSC)	%
69315	Sediment	Suspended sediment, sieve diameter, percent smaller than 3.35 millimeters		Suspended sediment concentration (SSC)	%
69316	Sediment	Suspended sediment, sieve diameter, percent smaller than 2.8 millimeters		Suspended sediment concentration (SSC)	%
69317	Sediment	Suspended sediment, sieve diameter, percent smaller than 2.36 millimeters		Suspended sediment concentration (SSC)	%
69318	Sediment	Suspended sediment, sieve diameter, percent smaller than 1.7 millimeters		Suspended sediment concentration (SSC)	%
69319	Sediment	Suspended sediment, sieve diameter, percent smaller than 1.4 millimeters		Suspended sediment concentration (SSC)	%
69320	Sediment	Suspended sediment, sieve diameter, percent smaller than 1.18 millimeters		Suspended sediment concentration (SSC)	%
69321	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.85 millimeters		Suspended sediment concentration (SSC)	%
69322	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.71 millimeters		Suspended sediment concentration (SSC)	%
69323	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.6 millimeters		Suspended sediment concentration (SSC)	%
69324	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.425 millimeters		Suspended sediment concentration (SSC)	%
69325	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.355 millimeters		Suspended sediment concentration (SSC)	%
69326	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.3 millimeters		Suspended sediment concentration (SSC)	%
69327	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.212 millimeters		Suspended sediment concentration (SSC)	%
69328	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.18 millimeters		Suspended sediment concentration (SSC)	%
69329	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.15 millimeters		Suspended sediment concentration (SSC)	%
69330	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.106 millimeters		Suspended sediment concentration (SSC)	%
69331	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.09 millimeters		Suspended sediment concentration (SSC)	%
69332	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.075 millimeters		Suspended sediment concentration (SSC)	%
69333	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.053 millimeters		Suspended sediment concentration (SSC)	%
69334	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.045 millimeters		Suspended sediment concentration (SSC)	%
69335	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.038 millimeters		Suspended sediment concentration (SSC)	%
69336	Sediment	Suspended sediment, sieve diameter, percent smaller than 0.032 millimeters		Suspended sediment concentration (SSC)	%
69337	Sediment	Suspended sediment, direct measurement, percent smaller than 4 millimeters		Suspended sediment concentration (SSC)	%
69338	Sediment	Suspended sediment, direct measurement, percent smaller than 2.8 millimeters		Suspended sediment concentration (SSC)	%
69339	Sediment	Suspended sediment, direct measurement, percent smaller than 2 millimeters		Suspended sediment concentration (SSC)	%
69340	Sediment	Suspended sediment, direct measurement, percent smaller than 1.7 millimeters		Suspended sediment concentration (SSC)	%
69341	Sediment	Suspended sediment, direct measurement, percent smaller than 1.4 millimeters		Suspended sediment concentration (SSC)	%
69342	Sediment	Suspended sediment, direct measurement, percent smaller than 1.18 millimeters		Suspended sediment concentration (SSC)	%
69343	Sediment	Suspended sediment, direct measurement, percent smaller than 1 millimeter		Suspended sediment concentration (SSC)	%
69344	Sediment	Suspended sediment, direct measurement, percent smaller than 0.85 millimeters		Suspended sediment concentration (SSC)	%
69345	Sediment	Suspended sediment, direct measurement, percent smaller than 0.71 millimeters		Suspended sediment concentration (SSC)	%
69346	Sediment	Suspended sediment, direct measurement, percent smaller than 0.6 millimeters		Suspended sediment concentration (SSC)	%
69347	Sediment	Suspended sediment, direct measurement, percent smaller than 0.5 millimeters		Suspended sediment concentration (SSC)	%
69348	Sediment	Suspended sediment, direct measurement, percent smaller than 0.425 millimeters		Suspended sediment concentration (SSC)	%
69349	Sediment	Suspended sediment, direct measurement, percent smaller than 0.355 millimeters		Suspended sediment concentration (SSC)	%
69350	Sediment	Suspended sediment, direct measurement, percent smaller than 0.3 millimeters		Suspended sediment concentration (SSC)	%
69351	Sediment	Suspended sediment, direct measurement, percent smaller than 0.25 millimeters		Suspended sediment concentration (SSC)	%
69352	Sediment	Suspended sediment, direct measurement, percent smaller than 0.212 millimeters		Suspended sediment concentration (SSC)	%
69353	Sediment	Suspended sediment, direct measurement, percent smaller than 0.18 millimeters		Suspended sediment concentration (SSC)	%
69354	Sediment	Suspended sediment, direct measurement, percent smaller than 0.15 millimeters		Suspended sediment concentration (SSC)	%
69355	Sediment	Suspended sediment, direct measurement, percent smaller than 0.125 millimeters		Suspended sediment concentration (SSC)	%
69356	Sediment	Suspended sediment, direct measurement, percent smaller than 0.106 millimeters		Suspended sediment concentration (SSC)	%
69357	Sediment	Suspended sediment, direct measurement, percent smaller than 0.09 millimeters		Suspended sediment concentration (SSC)	%
69358	Sediment	Suspended sediment, direct measurement, percent smaller than 0.075 millimeters		Suspended sediment concentration (SSC)	%
69359	Sediment	Suspended sediment, direct measurement, percent smaller than 0.063 millimeters		Suspended sediment concentration (SSC)	%
69360	Sediment	Suspended sediment, direct measurement, percent smaller than 0.053 millimeters		Suspended sediment concentration (SSC)	%
69361	Sediment	Suspended sediment, direct measurement, percent smaller than 0.045 millimeters		Suspended sediment concentration (SSC)	%
69362	Sediment	Suspended sediment, direct measurement, percent smaller than 0.038 millimeters		Suspended sediment concentration (SSC)	%
69363	Sediment	Suspended sediment, direct measurement, percent smaller than 0.032 millimeters		Suspended sediment concentration (SSC)	%
69364	Sediment	Suspended sediment, direct measurement, percent smaller than 0.031 millimeters		Suspended sediment concentration (SSC)	%
69365	Sediment	Suspended sediment, direct measurement, percent smaller than 0.025 millimeters		Suspended sediment concentration (SSC)	%
69366	Sediment	Suspended sediment, direct measurement, percent smaller than 0.024 millimeters		Suspended sediment concentration (SSC)	%
69367	Sediment	Suspended sediment, direct measurement, percent smaller than 0.02 millimeters		Suspended sediment concentration (SSC)	%
69368	Sediment	Suspended sediment, direct measurement, percent smaller than 0.016 millimeters		Suspended sediment concentration (SSC)	%
69369	Sediment	Suspended sediment, direct measurement, percent smaller than 0.012 millimeters		Suspended sediment concentration (SSC)	%
69370	Sediment	Suspended sediment, direct measurement, percent smaller than 0.008 millimeters		Suspended sediment concentration (SSC)	%
69371	Sediment	Suspended sediment, direct measurement, percent smaller than 0.006 millimeters		Suspended sediment concentration (SSC)	%
69372	Sediment	Suspended sediment, direct measurement, percent smaller than 0.004 millimeters		Suspended sediment concentration (SSC)	%
69373	Sediment	Total sediment, fall diameter (deionized water), percent smaller than 4 millimeters		Sediment	%
